Show Number, Air Date, Category, Value, Question, Answer
4680,2004-12-31,"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
5957,2010-07-06,"HISTORIC WOMEN","None","She was born in Virginia around 1596 & died in Kent, England in 1617","Pocahontas"
3751,2000-12-18,"SPORTS LEGENDS","None","If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract","H.J. Heinz (Heinz 57 Varieties)"
3673,2000-07-19,"THE MAP OF EUROPE","None","Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries","Slovenia"
4931,2006-02-06,"FAMOUS SHIPS","None","On December 27, 1831 it departed Plymouth, England to map the coastline of South America","the HMS Beagle"
5690,2009-05-08,"EUROPEAN HISTORY","None","He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing""","Henry VIII"
2825,1996-12-06,"BRITISH NOVELS","None","This 1895 novel is subtitled ""An Invention""","The Time Machine"
6037,2010-12-07,"FLAGS OF THE WORLD","None","In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the ""herring salad""","Norway and Sweden"
5243,2007-05-30,"THE BRITISH THEATRE","None","Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000","The Mousetrap"
3036,1997-11-10,"THE CONSTITUTION","None","Word completing the line ""Nor shall any person be subject for the same offense to be twice put in"" this","Jeopardy"
4107,2002-06-11,"GEOGRAPHIC PHRASES","None","This common term originated in the early 1500s with the book ""De Rebus Oceanicis et Novo Orbe""","the New World"
2735,1996-06-21,"AMERICAN HISTORY","None","On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word","Treason!"
5851,2010-02-08,"RANKS & TITLES","None","Owain Glyndwr, who died circa 1416, was the last native of his country to claim this title","Prince of Wales"
4335,2003-06-06,"CANDY","None","Bill Harmsen, who raised horses in Colo., happily founded this candy co. in 1949 to make money during the winter","Jolly Rancher"
4541,2004-05-10,"THE PRESIDENCY","None","If a president is impeached, this official presides over the trial in the Senate","the Chief Justice of the United States"
